,alpha,mu_R,mu_M
0,21.44869627718901,2.20382067000127,3.224450882281438
1,23.915557816882554,2.3026770431864425,3.217432424748755
2,16.798824683749935,2.358604114045082,3.3980388561203907
3,10.307479881606822,2.4144513213217507,3.7630031068328895
4,20.27820926693255,2.117116553703825,3.2202209381068365
5,10.675421877910912,2.310500467766203,3.6219923827743656
6,43.23166361093309,2.1921517720512513,2.9796586538957843
7,21.171277510370995,2.4410896759347875,3.305007393505952
8,10.641752730142244,2.3138763119554806,3.5553288239557634
9,20.838597963895477,2.0435253233534536,3.2723090988937216
10,9.856283197175463,2.457076988373596,3.5864465796292477
11,19.288607674529995,2.3622896306172243,3.481047794205135
12,38.738927700972795,2.2427385869274747,2.9510493227271124
13,30.901926353533447,2.1305773087654525,3.131067294375327
14,26.03790301726,2.0743355140212523,3.129996421518855
15,18.15566285738136,2.3446970363641295,3.5910601753502625
16,27.40354222265199,2.061398962510026,3.058840447978117
17,48.01654445900095,2.0591164349111253,3.106615569992244
18,49.33291809096066,2.0967834777457695,2.906233922760769
19,18.15981390564023,2.1501526364936128,3.558274878024252
20,25.433480388282312,2.1181545603079344,3.386246302564548
21,25.68314558984327,2.1517645053461725,3.2590613157640744
22,30.383747434199226,2.1075941726450815,3.316411097509994
23,15.34539519618146,2.366271532019138,3.248322917606448
24,43.890732804590456,2.274022183507742,2.96278392859924
25,12.440244552191908,2.3168515396384555,3.1378550162558763
26,19.26728930103964,2.202239095327894,3.347113744893881
27,23.262170736090276,2.1006226860410115,3.546247810779739
28,29.384086952793442,2.0772830338738926,3.1211106314750587
29,14.964200864004873,2.2167067102090217,3.215154457616201
30,23.077205007691553,1.9963444551498877,3.3717162538740064
31,10.395113335011867,2.4770326904687985,3.755833677057336
32,23.803415742692966,2.252552810501728,3.011781961492141
33,18.54945548425094,2.2802051219663206,3.5489768048890586
34,47.231141409496516,2.103952317478015,3.2955442021478114
35,26.852242894183863,2.5211312310515503,3.180749675889951
36,29.085775902418586,2.2134199398765575,2.9274071903665093
37,18.005793882764387,2.477607082698421,3.1315523754534147
38,32.38381891740648,2.2168133878001997,3.4122346814352684
39,26.275780157787242,2.183778089947036,3.3473969420742944
40,47.927056717751455,2.191177232220855,3.1193794770137493
41,49.10813053712694,2.160704546988111,3.196394121213939
42,39.958681647494444,2.245344112897984,3.367408169690287
43,23.575949623068208,2.163580224986313,2.9911367308737256
44,37.509707342000965,2.0210477658051147,3.169888737624724
45,43.54412045723509,2.2867181572812725,3.0278469449465355
46,9.924779188295307,2.0937148190051205,3.719200946144576
47,22.7377565315089,2.3436492852921327,3.319131086971176
48,40.82904758259194,2.2926671570086583,2.8301102193219267
49,36.74261471655434,2.3829866042904637,3.0423898729513765
50,19.11035059039839,2.3902227660745874,3.352339264829158
51,25.714206124479393,2.178848465815837,3.5621929591410972
52,32.34756420844117,1.9846644454904938,3.238896831639198
53,41.65002809132848,2.226085080962849,2.8922951003213653
54,10.92898144544277,2.575090960885697,3.6308383045561983
55,16.056516855337133,2.285234456370437,3.0045671301769095
56,12.158546105139422,2.0834281067348672,3.704715361375537
57,18.80330726441088,2.460544055227547,3.573713613688626
58,11.5028574328273,2.272403228802073,4.2346711137617135
59,27.24500290105047,1.8317632132108568,3.251837534744096
60,39.58319632473013,1.9916568842739444,2.873362029844139
61,8.146455415828928,2.6145688123300905,4.521550432908829
62,7.204547965396856,2.647056687738899,4.144284788649032
63,17.383548214769895,2.628099089883741,3.4062302801576005
64,9.170026603058488,2.3622625523653977,3.593163863576558
65,25.630029217845074,1.9458927225052285,3.2965792719705775
66,35.512777652622155,2.394981941915539,3.4034278001260185
67,27.2358771704903,2.232634249714833,3.4112022211265947
68,11.681645187820433,2.6957547593259124,3.684197259747113
69,28.41205210816085,2.0738093845730963,2.989948871371543
70,50.61492578464326,2.196601441688248,3.1725807621564397
71,31.077896025250816,2.4955712638700143,3.1700407836099376
72,21.847987429027516,1.9370525302559565,3.0483279842451605
73,25.81255763965016,2.381181157595041,3.5371348814026704
74,11.947107478060069,2.7536507513744475,3.7212281948978876
75,15.464638380946838,2.6058267291624357,3.328198355968965
76,43.27554882215915,2.1959866319163694,3.3513908517261712
77,21.562543332050502,2.0726480728429006,3.030706549719426
78,25.942236800561712,2.026141053000716,3.5621814240637173
79,8.419294007536731,2.03934294655408,3.937784805516512
80,26.03794905768103,1.9240752756848483,2.9536666502146702
81,23.401445160095157,2.5055735405544866,2.982397212031464
82,17.653471413487264,2.609905895035545,3.308975862454246
83,34.003414329394076,2.179545952946912,3.4815473389484772
84,31.969781178560616,2.3613094362936105,2.9433188957456107
85,39.28752616204559,2.261252237571273,2.8501121722773495
86,48.86939060960748,2.3710439543706365,3.3630441439674517
87,19.523228125018644,2.553096201682962,3.321527738767171
88,27.67917286144189,2.230626460008366,3.5157038869513877
89,9.4770685455135,2.062352336489703,3.467035318643772
90,7.702668028594655,2.266917681553274,4.608437300579616
91,7.91646622773277,2.8204695578977437,3.754488076305506
92,19.94264111593903,2.38158189839875,3.7158639500224733
93,45.029271960293,2.442653758906845,3.2121003134210095
94,13.256389929047684,2.2248551620244523,3.125378676978684
95,41.79208886702691,2.3650373549662174,2.907421381926773
96,17.664071263222603,2.493833242661843,3.265864107960517
97,9.39044071271713,2.1351495875179656,3.3930731692841105
98,30.791676490022624,2.355464153729388,3.5877529872963287
99,47.87773677851766,2.6290484882605996,3.151854760286456
