mean0,std0,mean1,std1,mean2,std2,mean3,std3,mean4,std4,mean5,std5,mean6,std6,mean7,std7,mean8,std8,mean9,std9,mean10,std10,mean11,std11,mean12,std12,mean13,std13,mean14,std14,mean15,std15,mean16,std16,mean17,std17,mean18,std18,mean19,std19,mean20,std20,mean21,std21
-10.0,1.0,-8.0,1.0,-6.0,1.0,-4.0,1.0,-2.0,1.0,0.0,1.0,2.0,1.0,4.0,1.0,6.0,1.0,8.0,1.0,10.0,1.0,5.0,0.5,5.0,1.0,5.0,1.5,5.0,2.0,5.0,2.5,5.0,3.0,5.0,4.0,5.0,6.0,5.0,8.0,5.0,10.0,5.0,12.0
-9.030680019392662,3.5174791277672948,-7.428293619668531,2.209909510070196,-5.780745619967449,1.2150890752890138,-3.500971745589057,1.9830731441950171,-1.9061386063802788,0.9982816198818839,-0.13522056794065934,1.0546882751348008,1.6901908883169974,1.4359660095404316,3.7657560034046966,1.2488095439481317,5.355587004853445,2.4422096532651403,7.191125804228614,2.9808746125988788,9.051142972815407,3.448611030934276,4.274744281104225,2.5789650024985913,4.717499896104693,1.36539347023708,4.753698085033803,1.6557344682701896,4.737631796006954,2.096878054826562,4.324942201681693,3.335454881817132,4.300214055134793,3.73968270414896,4.6082330938487255,4.012244370023778,4.442098925134359,5.983661987510344,4.394760964718765,7.833649439587156,4.358375559368762,9.691261880395649,4.557636567804541,11.418918973332575
-7.832766380931676,5.341982098720171,-6.902790653024956,2.777818304917677,-5.106073496760115,2.622162038571602,-3.4889357858149213,1.8701327296289663,-1.6478158978332216,1.3043899354518038,-0.4999449192873536,1.6169780673574026,1.162041241298897,2.289580565795879,3.2953093578950616,2.0226881812272337,4.519800562038549,3.7201312925346666,6.619570257870737,3.4483367863888272,8.107061624207313,4.633035956264015,3.7072881101498165,3.1381027447216647,4.297066720717854,1.9538691152222116,4.113576719515664,2.7285474955765276,4.379898175510103,2.339331537242167,4.041825282612002,3.296785387718845,4.023822785914532,3.6558164999052862,3.958028690546,4.41322599751736,4.1055461132599165,5.762842120150972,4.017546391929362,7.502447749238388,4.109651625004616,9.17829232593643,3.9318349236373495,10.98591386437366
-7.325389540305801,5.339700578046992,-6.1036498887351875,3.829404537516184,-4.735082183911597,2.7917670830737134,-3.216629045010251,2.003768037447857,-1.616775681668753,1.2345691682982074,-0.32513875977232637,1.642431660577365,0.9766645111560096,2.2538246965939916,2.8900559229690113,2.3756982118699925,3.734946454576918,4.453145846471264,6.183997992333363,3.590075278914993,7.388333008446356,5.039212547818076,3.429724931618076,3.113698331207296,3.8255165682739545,2.47207484256172,3.757285815966587,2.8581953194986407,3.7196119578225075,3.19265379249488,3.581367795491623,3.5003598523006727,3.5703305067964206,3.793884427484861,3.654972024404279,4.293603477002189,3.930394323245079,5.467656321641571,3.8999861410401526,7.0853057898820255,3.442565540880035,8.962135304604478,3.5623925210724976,10.43783754345973
-6.672639357487469,5.527389641435068,-5.678578194795249,3.9042735395458767,-4.2691087340630185,3.0954472971533855,-3.2059398049179504,1.8895401958940425,-1.3208667536373604,1.557245379802849,-0.2931184122738587,1.5525404760966908,0.8743029749496002,2.1548491402265255,2.5063983418415963,2.610721086049206,3.3288680412732305,4.431992629258193,5.458967766705491,4.228641693582688,6.7600238717128605,5.234227796809127,3.318771931374211,2.9611390618222777,3.5849540498226005,2.477789516641683,3.2285769585874444,3.2677358797977636,3.397638213227898,3.2136460092128267,3.253092382075681,3.4940310203523754,3.410730237677274,3.62016604042498,3.1827383320421774,4.371762410490714,4.079550100224538,5.181262654469408,3.3292664467132593,6.971702898409877,3.2391883849988683,8.479444447034373,3.204917905209479,9.919925580913537
-5.910850374041029,5.852366663429508,-5.033068273164302,4.317689086825443,-3.6057015224986526,3.727769006236995,-2.9580424897070645,1.9810977847019446,-1.241291163221599,1.494309784491393,-0.49420293803016446,1.6238125218208104,0.6693242551564692,2.15429258431634,2.4619539841682676,2.466310780978229,2.9919284735292293,4.341384562564475,5.173863584180749,4.109508865219894,6.318902237178341,5.170233582098151,3.0173122506358534,2.9840935651438,2.7138287807003154,3.8382583276157733,3.2316944991643384,3.0808702114366366,3.3259097537535607,3.040214032836029,2.914978028214574,3.499862964952864,3.2093451864787497,3.4849831906984345,2.901222326307417,4.237610586607747,3.478477545385427,5.317743520377842,2.810485661624072,6.818616801384658,3.068448730070679,8.01675016115138,3.0891073889251945,9.361355057254892
-5.147646713620314,6.128932710300491,-4.215112265823866,4.97477230855629,-3.0678323526761417,3.9859956365853977,-2.5583530049366674,2.3326349604011343,-0.9020142924281802,1.8416677620601531,-0.49893426175690364,1.531034481244599,0.3530829606199695,2.312496330602166,2.277933786982013,2.41261703398168,2.416556930695071,4.560661802779098,4.787701720738972,4.10295033728465,6.129775147594449,4.919181486896597,2.872328581559868,2.8587243525958663,2.181229348348813,4.069679935594449,3.038125016149522,2.9824616231255376,3.2385609136964955,2.8825623460184313,2.5863575441019395,3.493985032582832,2.636639365990058,3.8476540899904763,2.6661336197089853,4.078917133893832,3.260770691284542,5.071059054013599,2.551769995343796,6.49196938302045,2.5812628199425856,7.747793789084397,2.548696513004859,9.025916873668491
-4.65807818973458,6.02656191550643,-3.700728678024566,5.023188766660395,-2.76903750560273,3.9005114962180314,-1.9997684952812655,2.9411131463151654,-0.9337940252912684,1.739891945009697,-0.558295355217982,1.4583150093301283,0.8212750753422801,2.726282336892826,2.239997458291626,2.278500378540042,2.2983641212657067,4.319641678255719,4.533958519113653,3.9687113654828003,5.7165092261516355,4.857680418209078,2.4313321637857097,3.1050317916937056,1.6878512430702974,4.206803659284753,2.6164255356366404,3.1749360163712956,2.9875918214922916,2.855826963441286,2.371906923437145,3.378399503063372,2.6445237951687357,3.6277077861363027,2.4572021295969377,3.9143933872742847,2.8784922656435503,4.964318984877174,2.372165690712372,6.152810373653422,2.3653782827359042,7.343577265277777,2.1072075321576076,8.648556594446129
-4.462396530673241,5.722932741345607,-3.2284141592094286,5.015512753217857,-2.452688549185413,3.8401439831502846,-1.6012090769313512,3.103307006879373,-0.7371592343101013,1.7786064568501003,-0.6819957591798719,1.4413210847821012,0.6705162137790903,2.623844270891507,2.222858598400947,2.149026220228741,2.107419764002385,4.126944067964527,4.385815824174883,3.7774101593421,4.955957210266852,5.295750948102118,2.5153726245200025,2.9421588316117,1.7442044050121326,3.971102574249029,2.5071985856977443,3.0176169330125755,2.737681092864781,2.830706078232678,2.320079458708029,3.190334971779225,2.7263075002682537,3.4321657147076197,2.1368031490423167,3.856767651575339,2.7921335833438494,4.6901322451129595,2.2813291153592297,5.809611242774099,2.0568873489328934,7.007086481199578,1.9314438985288762,8.177057766012867
-3.9341123314326807,5.702971299284073,-2.9096330998423894,4.858226647665182,-2.2860583186038244,3.667088857548492,-1.5563694754980368,2.930022372228007,-0.49156556328052986,1.8839177578259292,-0.7702296604674582,1.3934619598725506,0.6235767738142708,2.479221075611018,2.040179591452636,2.1243924024321603,1.9788555372743943,3.916794357694668,4.0879320825824434,3.7105171798965877,4.582083734639485,5.161134416322543,2.0234608374238836,3.2637381671719874,1.2552755824832404,4.115727268345196,1.806301882423619,3.754793623384688,2.5411783919903645,2.7558148516737573,2.2558240973534653,3.016253388231628,2.4747502014825566,3.353257291196708,1.8704904569656085,3.7534979721384847,2.4991727253544305,4.53896208017887,1.779327675744095,5.751649631276434,1.8077119237590134,6.663531019380734,1.7482224545707077,7.735968663023709
-3.6560884829254348,5.463960221924191,-2.610828208238155,4.697992588303607,-2.40790385700394,3.4835075297485236,-1.3183300875548232,2.8850794585132293,-0.32018176120544983,1.8745113076782656,-0.7820427439277321,1.314417498885475,0.47574674887983176,2.393885867602521,1.8168836045408028,2.1496528244474513,2.2042396025666777,3.7759178690072557,3.8863502897193345,3.5685878945785237,4.1958725415955405,5.049818116926582,1.7496877588380888,3.2225004341394263,1.2369298252723115,3.880874900329139,1.6141038534901702,3.603257943854142,2.288148452090092,2.7446671631263846,2.0547930181911416,2.929310886785467,2.216035266982234,3.2883185773346355,1.851532570254503,3.5394524117646964,2.35724810263798,4.30804286527042,1.9109763285105492,5.4422037846504505,1.5562000290782068,6.34367200723372,2.0127824416863893,7.3519521805690795
