mean_6_alpha_5,mean_6_alpha_10,mean_6_alpha_20,mean_6_alpha_50,mean_5_alpha_5,mean_5_alpha_10,mean_5_alpha_20,mean_5_alpha_50,mean_4_alpha_5,mean_4_alpha_10,mean_4_alpha_20,mean_4_alpha_50,mean_3_alpha_5,mean_3_alpha_10,mean_3_alpha_20,mean_3_alpha_50
3078,1902,395,2,865,1169,915,238,0,0,0,0,0,0,0,0
3165,2407,599,6,722,878,617,76,0,0,0,0,0,0,0,0
3721,2875,940,19,639,672,347,26,0,0,0,0,0,0,0,0
3984,3543,1501,61,530,516,197,8,0,0,0,0,0,0,0,0
4156,4313,2250,145,416,354,99,1,0,0,0,0,0,0,0,0
4646,5218,3404,426,297,225,37,0,0,0,0,0,0,0,0,0
4952,6246,5199,1245,232,137,16,0,0,0,0,0,0,0,0,0
5123,7517,7451,3291,167,64,6,0,0,0,0,0,0,0,0,0
5646,8786,10301,7545,113,25,1,0,0,0,0,0,0,0,0,0
5547,9745,13563,15364,59,15,0,0,0,0,0,0,0,0,0,0
5933,10575,16310,24680,30,2,0,0,0,0,0,0,0,0,0,0
5792,10704,16709,27592,13,0,0,0,0,0,0,0,0,0,0,0
5312,9243,13270,16350,8,0,0,0,0,0,0,0,0,0,0,0
4276,6349,6394,3206,0,0,0,0,0,0,0,0,0,0,0,0
2498,2405,1038,68,0,0,0,0,0,0,0,0,0,0,0,0
442,126,8,0,0,0,0,0,0,0,0,0,0,0,0,0
