,alpha,mu_a,sigma_a
0,23.305330818754186,7.776467682770327,2.504416885859489
1,19.114037179132076,8.809879299379915,2.49472380193138
2,22.98393605261777,11.144731745622419,3.5980861317796298
3,20.61674724601051,12.756418801812048,4.657117621902127
4,22.341974159925563,8.26272720288687,2.6005256852188525
5,22.244761252548493,10.21882922381349,3.245894011698356
6,27.27107453345897,7.631144193005075,2.331286310339819
7,19.312000441717768,12.676589742373194,3.8944566601284842
8,18.45200972530955,9.41768024694504,2.6450456891681324
9,24.498014323829132,7.904926715047561,2.3617767529725664
10,21.624621229426847,9.074027036471282,2.681777524998779
11,18.836651440313062,12.117640750851088,3.515335384225121
12,22.84609136540997,7.370423276992185,1.9834013855298238
13,23.362214634926648,10.18746665922634,3.287965126850625
14,20.479501735400788,10.732544165459979,3.2861453797919222
15,19.307201164497002,11.457823880814498,3.2878788765781946
16,19.85556092659199,11.032561389079616,3.6796944241928764
17,19.6889040323498,8.015033461925215,2.1177452296571704
18,19.75961442008357,7.0588634473731915,1.8293356656300153
19,17.816048327973,10.468205894770858,3.1001472018078724
20,20.234035956724004,13.703833917588003,4.055584438012541
21,24.77454842309662,7.693767771271178,2.4107635413825452
22,20.991730255796924,6.485070540409899,1.5795040853168247
23,19.197614361268897,9.9729554031863,2.7468377340125105
24,18.28452387485139,8.670716429418004,2.401225360492124
25,22.25650460704012,5.699986651002075,1.357735296421791
26,22.39070888073153,7.058511284269255,2.053478192830183
27,23.773812179607976,6.0588440743910175,1.6328234555118957
28,22.96409576934853,8.27112935261589,2.4237140976461466
29,21.768319656192453,7.405691148909243,2.053854905299876
30,19.436227897634016,8.748165805535402,2.407213475199458
31,20.41518284502033,10.906101085626691,3.3764651085727277
32,23.419727308583454,7.997427552479405,2.2815326022471787
33,24.515809074735593,10.562936129471383,3.4092875220062497
34,20.121957744362444,8.856793930368156,2.7957971080473767
35,19.628312112293877,6.972879768760547,1.7095964510729709
36,24.09478850760173,12.960575924681521,4.4852581808257055
37,21.903349169272612,5.863237264960958,1.5209747585813265
38,18.545654801846077,8.088870186141671,2.254398533555187
39,27.418984800582283,5.926479985383294,1.5581205439344126
40,17.200766785913096,9.423778091764861,2.4885133726832525
41,19.445234115721625,10.684972511133001,3.1324271451437697
42,24.971047574724004,11.743945846146747,3.938336619265987
43,21.879023035118493,7.325440118410177,1.8767673431069591
44,19.128713319777827,9.112463566843733,2.5733072060578412
45,23.591401451137706,5.31774612102356,1.1269173226869245
46,21.244083155694238,7.46853917611253,2.1133576735302557
47,19.48399050411414,10.112680768979335,3.1980652513819985
48,20.70309396223509,7.084650154812608,1.703289913496328
49,22.723119405992907,5.193489333426094,1.3035346155456258
50,24.714212905531824,8.917944260112447,2.9401610662169615
51,18.3460505765457,13.40924945537456,3.505212063079064
52,23.992655885707602,5.839736645926716,1.4801795418757293
53,20.006267877078265,8.195054675113703,2.2677216308955823
54,18.87217459429677,10.315344128488046,2.962430366671005
55,17.272083208670978,9.680553258755438,2.9052351505011926
56,20.053283539608696,14.607945789382457,4.499702375129713
57,24.038934787426296,8.356114892429158,2.4851602629703575
58,20.833827070121306,11.387201926946094,3.2886458405175722
59,22.134048885018352,5.051833607245787,1.0329064133926826
60,20.802127862500818,8.743933762440633,2.8062408024231007
61,19.515265093262645,7.163855259487653,2.0158456056966663
62,23.494984092202884,7.15696170975671,2.043074767129884
63,20.113177805510446,8.3186932826605,2.112608675393299
64,27.472276029186308,7.314274664408955,2.19099142745994
65,19.364600564920664,8.73610946638238,2.203573118875145
66,21.81429645344224,11.123983939535954,3.1824228684350144
67,21.735100495409476,9.21486439324445,2.6615745398961295
68,29.24343086044383,13.295949128855867,4.996524394155609
69,24.547941323935483,12.75308858377289,4.885542879147641
70,23.170406463972586,4.348635522030955,0.7392681556229409
71,24.239679948576708,5.198120284805195,1.1707339886815114
72,26.16448208782561,8.03367531509477,2.364186035380464
73,18.386030983074853,10.290855176710702,2.880806427311628
74,19.86030100384039,15.071627381450028,4.3325003654001035
75,22.800107141451807,10.34256605073014,3.1765045814228303
76,26.591310024490415,8.683833761389936,2.745917304359812
